City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
129,yellowknife,62.456,-114.3525,-32.71,68,0,2.06,CA,1678106511
130,tabou,4.423,-7.3528,30.25,67,76,4.18,CI,1678106512
131,tautira,-17.7333,-149.15,26.0,79,100,7.9,PF,1678106211
132,codrington,-38.2667,141.9667,13.64,77,10,8.34,AU,1678106199
133,presidencia roque saenz pena,-26.7852,-60.4388,28.96,45,94,3.98,AR,1678106513
134,taldan,53.6667,124.8,-13.3,94,69,2.22,RU,1678106513
135,namibe,-15.1961,12.1522,25.29,62,99,4.81,AO,1678106747
136,chara,56.9064,118.2631,-21.06,66,18,1.4,RU,1678106514
137,taoudenni,22.6783,-3.9836,33.04,8,0,1.36,ML,1678106165
138,tual,-5.6667,132.75,27.74,78,100,7.99,ID,1678106515
139,sayat,38.7839,63.8803,27.93,26,0,2.62,TM,1678106515
140,hearst,49.6835,-83.6665,-8.86,100,100,1.87,CA,1678106462
141,ramban,33.25,75.25,15.23,51,100,0.36,IN,1678106516
142,brive-la-gaillarde,45.25,1.5,7.38,46,6,1.99,FR,1678106516
143,dosso,13.049,3.1937,40.84,6,6,7.69,NE,1678106749
144,wagar,16.1525,36.2032,39.42,15,0,3.06,SD,1678106517
145,thompson,55.7435,-97.8558,-28.91,76,20,1.03,CA,1678106354
146,merauke,-8.4667,140.3333,26.17,86,97,6.23,ID,1678106517
147,kaitangata,-46.2817,169.8464,8.62,93,17,1.92,NZ,1678106167
148,barinitas,8.7622,-70.4111,24.71,65,100,0.7,VE,1678106518
149,provideniya,64.3833,-173.3,-6.53,96,100,2.22,RU,1678106259
150,souillac,-20.5167,57.5167,28.21,78,75,3.09,MU,1678106751
151,hamilton,39.1834,-84.5333,7.35,66,20,4.12,US,1678105886
152,hasaki,35.7333,140.8333,7.9,77,44,5.6,JP,1678106153
153,mayo,38.8876,-76.5119,6.64,74,0,2.57,US,1678106520
